iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations
AFG,2021-02-22,0.0,0.0,0.0,0.0
AFG,2021-02-23,1367.0,1367.0,0.0,1367.0
AFG,2021-02-24,2734.0,2734.0,0.0,1367.0
AFG,2021-02-25,4101.0,4101.0,0.0,1367.0
AFG,2021-02-26,5468.0,5468.0,0.0,1367.0
AFG,2021-02-27,6835.0,6835.0,0.0,1367.0
AFG,2021-02-28,8200.0,8200.0,0.0,1367.0
AFG,2021-03-01,9780.0,9780.0,0.0,1580.0
AFG,2021-03-02,11574.0,11574.0,0.0,1794.0
AFG,2021-03-03,13582.0,13582.0,0.0,2008.0
AFG,2021-03-04,15803.0,15803.0,0.0,2221.0
AFG,2021-03-05,18238.0,18238.0,0.0,2435.0
AFG,2021-03-06,20887.0,20887.0,0.0,2649.0
AFG,2021-03-07,23749.0,23749.0,0.0,2862.0
AFG,2021-03-08,26611.0,26611.0,0.0,2862.0
AFG,2021-03-09,29473.0,29473.0,0.0,2862.0
AFG,2021-03-10,32335.0,32335.0,0.0,2862.0
AFG,2021-03-11,35197.0,35197.0,0.0,2862.0
AFG,2021-03-12,38059.0,38059.0,0.0,2862.0
AFG,2021-03-13,40921.0,40921.0,0.0,2862.0
AFG,2021-03-14,43783.0,43783.0,0.0,2862.0
AFG,2021-03-15,46645.0,46645.0,0.0,2862.0
AFG,2021-03-16,54000.0,54000.0,0.0,2862.0
AFG,2021-03-17,56882.0,56882.0,0.0,2882.0
AFG,2021-03-18,59784.0,59784.0,0.0,2902.0
AFG,2021-03-19,62705.0,62705.0,0.0,2921.0
AFG,2021-03-20,65646.0,65646.0,0.0,2941.0
AFG,2021-03-21,68607.0,68607.0,0.0,2961.0
AFG,2021-03-22,71587.0,71587.0,0.0,2980.0
AFG,2021-03-23,74587.0,74587.0,0.0,3000.0
AFG,2021-03-24,77587.0,77587.0,0.0,3000.0
AFG,2021-03-25,80587.0,80587.0,0.0,3000.0
AFG,2021-03-26,83587.0,83587.0,0.0,3000.0
AFG,2021-03-27,86587.0,86587.0,0.0,3000.0
AFG,2021-03-28,89587.0,89587.0,0.0,3000.0
AFG,2021-03-29,92587.0,92587.0,0.0,3000.0
AFG,2021-03-30,95587.0,95587.0,0.0,3000.0
AFG,2021-03-31,98587.0,98587.0,0.0,3000.0
AFG,2021-04-01,101587.0,101587.0,0.0,3000.0
AFG,2021-04-02,104587.0,104587.0,0.0,3000.0
AFG,2021-04-03,107587.0,107587.0,0.0,3000.0
AFG,2021-04-04,110587.0,110587.0,0.0,3000.0
AFG,2021-04-05,113587.0,113587.0,0.0,3000.0
AFG,2021-04-06,116587.0,116587.0,0.0,3000.0
AFG,2021-04-07,120000.0,120000.0,0.0,3000.0
AFG,2021-04-08,123714.0,123714.0,0.0,3714.0
AFG,2021-04-09,128143.0,128143.0,0.0,4429.0
AFG,2021-04-10,133286.0,133286.0,0.0,5143.0
AFG,2021-04-11,139143.0,139143.0,0.0,5857.0
AFG,2021-04-12,145714.0,145714.0,0.0,6571.0
AFG,2021-04-13,153000.0,153000.0,0.0,7286.0
AFG,2021-04-14,161000.0,161000.0,0.0,8000.0
AFG,2021-04-15,169000.0,169000.0,0.0,8000.0
AFG,2021-04-16,177000.0,177000.0,0.0,8000.0
AFG,2021-04-17,185000.0,185000.0,0.0,8000.0
AFG,2021-04-18,193000.0,193000.0,0.0,8000.0
AFG,2021-04-19,201000.0,201000.0,0.0,8000.0
AFG,2021-04-20,209000.0,209000.0,0.0,8000.0
AFG,2021-04-21,217000.0,217000.0,0.0,8000.0
AFG,2021-04-22,240000.0,240000.0,0.0,8000.0
AFG,2021-04-23,248846.0,245918.0,2928.0,8846.0
AFG,2021-04-24,258538.0,252683.0,5855.0,9692.0
AFG,2021-04-25,269076.0,260293.0,8783.0,10538.0
AFG,2021-04-26,280460.0,268750.0,11710.0,11384.0
AFG,2021-04-27,292689.0,278051.0,14638.0,12229.0
AFG,2021-04-28,305764.0,288199.0,17565.0,13075.0
AFG,2021-04-29,319685.0,299192.0,20493.0,13921.0
AFG,2021-04-30,333606.0,310185.0,23421.0,13921.0
AFG,2021-05-01,347527.0,321179.0,26348.0,13921.0
AFG,2021-05-02,361448.0,332172.0,29276.0,13921.0
AFG,2021-05-03,375369.0,343166.0,32203.0,13921.0
AFG,2021-05-04,389290.0,354159.0,35131.0,13921.0
AFG,2021-05-05,403211.0,365152.0,38059.0,13921.0
AFG,2021-05-06,417132.0,376146.0,40986.0,13921.0
AFG,2021-05-07,431053.0,387139.0,43914.0,13921.0
AFG,2021-05-08,444974.0,398133.0,46841.0,13921.0
AFG,2021-05-09,458895.0,409126.0,49769.0,13921.0
AFG,2021-05-10,472816.0,420120.0,52696.0,13921.0
AFG,2021-05-11,504502.0,448878.0,55624.0,13921.0
AFG,2021-05-12,517123.0,459062.0,58061.0,12621.0
AFG,2021-05-13,528444.0,467945.0,60499.0,11321.0
AFG,2021-05-14,538466.0,475530.0,62936.0,10022.0
AFG,2021-05-15,547188.0,481815.0,65373.0,8722.0
AFG,2021-05-16,554610.0,486799.0,67811.0,7422.0
AFG,2021-05-17,560732.0,490484.0,70248.0,6122.0
AFG,2021-05-18,565554.0,492869.0,72685.0,4822.0
AFG,2021-05-19,570376.0,495253.0,75123.0,4822.0
AFG,2021-05-20,547901.0,470341.0,77560.0,4822.0
AFG,2021-05-21,552941.0,470543.0,82398.0,5040.0
AFG,2021-05-22,558198.0,470963.0,87235.0,5257.0
AFG,2021-05-23,563672.0,471600.0,92072.0,5474.0
AFG,2021-05-24,573277.0,476367.0,96910.0,5692.0
AFG,2021-05-25,579507.0,475511.0,103996.0,6230.0
AFG,2021-05-26,590454.0,479372.0,111082.0,6768.0
AFG,2021-05-27,593313.0,479574.0,113739.0,6487.0
AFG,2021-05-28,599220.0,483419.0,115801.0,5907.0
