iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations
AFG,2021-02-22,0.0,0.0,0.0,0.0
AFG,2021-02-23,1367.0,1367.0,0.0,1367.0
AFG,2021-02-24,2734.0,2734.0,0.0,1367.0
AFG,2021-02-25,4101.0,4101.0,0.0,1367.0
AFG,2021-02-26,5468.0,5468.0,0.0,1367.0
AFG,2021-02-27,6835.0,6835.0,0.0,1367.0
AFG,2021-02-28,8200.0,8200.0,0.0,1367.0
AFG,2021-03-01,9780.0,9780.0,0.0,1580.0
AFG,2021-03-02,11574.0,11574.0,0.0,1794.0
AFG,2021-03-03,13582.0,13582.0,0.0,2008.0
AFG,2021-03-04,15803.0,15803.0,0.0,2221.0
AFG,2021-03-05,18238.0,18238.0,0.0,2435.0
AFG,2021-03-06,20887.0,20887.0,0.0,2649.0
AFG,2021-03-07,23749.0,23749.0,0.0,2862.0
AFG,2021-03-08,26611.0,26611.0,0.0,2862.0
AFG,2021-03-09,29473.0,29473.0,0.0,2862.0
AFG,2021-03-10,32335.0,32335.0,0.0,2862.0
AFG,2021-03-11,35197.0,35197.0,0.0,2862.0
AFG,2021-03-12,38059.0,38059.0,0.0,2862.0
AFG,2021-03-13,40921.0,40921.0,0.0,2862.0
AFG,2021-03-14,43783.0,43783.0,0.0,2862.0
AFG,2021-03-15,46645.0,46645.0,0.0,2862.0
AFG,2021-03-16,54000.0,54000.0,0.0,2862.0
ALB,2021-01-10,0.0,0.0,0.0,0.0
ALB,2021-01-11,64.0,64.0,0.0,64.0
ALB,2021-01-12,128.0,128.0,0.0,64.0
ALB,2021-01-13,188.0,188.0,0.0,63.0
ALB,2021-01-14,266.0,266.0,0.0,66.0
ALB,2021-01-15,308.0,308.0,0.0,62.0
ALB,2021-01-16,369.0,369.0,0.0,62.0
ALB,2021-01-17,405.0,405.0,0.0,58.0
ALB,2021-01-18,447.0,447.0,0.0,55.0
ALB,2021-01-19,483.0,483.0,0.0,51.0
ALB,2021-01-20,519.0,519.0,0.0,47.0
ALB,2021-01-21,549.0,549.0,0.0,40.0
ALB,2021-01-22,583.0,583.0,0.0,34.0
ALB,2021-01-23,609.0,609.0,0.0,26.0
ALB,2021-01-24,630.0,630.0,0.0,21.0
ALB,2021-01-25,645.0,645.0,0.0,15.0
ALB,2021-01-26,654.0,654.0,0.0,9.0
ALB,2021-01-27,658.0,658.0,0.0,4.0
ALB,2021-01-28,,,1.0,
ALB,2021-01-29,,,1.0,
ALB,2021-01-30,,,1.0,
ALB,2021-01-31,,,1.0,
ALB,2021-02-01,,,1.0,
ALB,2021-02-02,550.0,549.0,1.0,
ALB,2021-02-03,562.0,499.0,63.0,12.0
ALB,2021-02-04,586.0,460.0,126.0,24.0
ALB,2021-02-05,621.0,433.0,188.0,35.0
ALB,2021-02-06,668.0,417.0,251.0,47.0
ALB,2021-02-07,727.0,414.0,313.0,59.0
ALB,2021-02-08,798.0,422.0,376.0,71.0
ALB,2021-02-09,1127.0,689.0,438.0,82.0
ALB,2021-02-10,1208.0,748.0,460.0,81.0
ALB,2021-02-11,1287.0,806.0,481.0,79.0
ALB,2021-02-12,1365.0,862.0,503.0,78.0
ALB,2021-02-13,1441.0,917.0,524.0,76.0
ALB,2021-02-14,1516.0,970.0,546.0,75.0
ALB,2021-02-15,1589.0,1021.0,568.0,73.0
ALB,2021-02-16,1661.0,1072.0,589.0,72.0
ALB,2021-02-17,1701.0,1090.0,611.0,72.0
ALB,2021-02-18,3049.0,2438.0,611.0,254.0
ALB,2021-02-19,4177.0,3555.0,622.0,405.0
ALB,2021-02-20,4693.0,4060.0,633.0,516.0
ALB,2021-02-21,5320.0,4676.0,644.0,627.0
ALB,2021-02-22,6728.0,6073.0,655.0,739.0
ALB,2021-02-23,7619.0,,,891.0
ALB,2021-02-24,8662.0,,,1043.0
ALB,2021-02-25,10135.0,,,1012.0
ALB,2021-02-26,11135.0,,,1000.0
ALB,2021-02-27,12162.0,,,1027.0
ALB,2021-02-28,13216.0,,,1054.0
ALB,2021-03-01,14295.0,,,1081.0
ALB,2021-03-02,15321.0,,,1026.0
ALB,2021-03-03,15793.0,,,971.0
ALB,2021-03-04,16720.0,,,927.0
ALB,2021-03-05,17617.0,,,897.0
ALB,2021-03-06,18484.0,,,867.0
ALB,2021-03-07,19322.0,,,838.0
ALB,2021-03-08,20130.0,,,808.0
ALB,2021-03-09,20950.0,,,820.0
ALB,2021-03-10,21613.0,,,831.0
ALB,2021-03-11,22470.0,,,857.0
ALB,2021-03-12,23635.0,,,883.0
ALB,2021-03-13,24677.0,,,1042.0
ALB,2021-03-14,25878.0,,,1201.0
ALB,2021-03-15,27239.0,,,1361.0
ALB,2021-03-16,28759.0,,,1520.0
ALB,2021-03-17,33369.0,,,1679.0
ALB,2021-03-18,35329.0,,,1960.0
ALB,2021-03-19,37569.0,,,2240.0
ALB,2021-03-20,39955.0,,,2386.0
ALB,2021-03-21,42488.0,,,2533.0
ALB,2021-03-22,48229.0,,,2679.0
ALB,2021-03-23,51690.0,,,2895.0
ALB,2021-03-24,53992.0,,,2946.0
ALB,2021-03-25,59348.0,,,3287.0
ALB,2021-03-26,62248.0,,,3276.0
DZA,2021-01-29,0.0,0.0,0.0,0.0
DZA,2021-01-30,30.0,,,30.0
DZA,2021-01-31,1919.0,,,1889.0
DZA,2021-02-01,4428.0,,,2509.0
DZA,2021-02-02,7247.0,,,2819.0
DZA,2021-02-03,10252.0,,,3005.0
DZA,2021-02-04,13381.0,,,3129.0
DZA,2021-02-05,16598.0,,,3217.0
DZA,2021-02-06,20346.0,,,3748.0
DZA,2021-02-07,24094.0,,,3748.0
DZA,2021-02-08,27842.0,,,3748.0
DZA,2021-02-09,31590.0,,,3748.0
DZA,2021-02-10,35338.0,,,3748.0
DZA,2021-02-11,39086.0,,,3748.0
DZA,2021-02-12,42834.0,,,3748.0
