date,iso_code,maxtempC,mintempC,tempC,FeelsLikeC,HeatIndexC,humidity,pressure,uvIndex,totalSnow_cm,sunHour,windspeedKmph,precipMM
2020-01-01,AFG,3,-1,3,-2,1,46,1026,1,0.1,3.6,9,0.4
2020-01-02,AFG,-1,-4,-1,-4,-2,95,1028,1,4.5,3.6,5,6.5
2020-01-03,AFG,-1,-6,-1,-5,-4,87,1026,1,0.5,7.0,5,0.9
2020-01-04,AFG,4,-3,4,-2,0,42,1023,2,0.0,8.7,6,0.0
2020-01-05,AFG,2,-4,2,-3,-2,52,1022,1,1.0,5.3,5,2.1
2020-01-06,AFG,-2,-6,-2,-6,-4,95,1022,1,12.2,3.6,6,14.8
2020-01-07,AFG,-3,-10,-3,-10,-7,78,1025,1,0.3,8.7,7,0.3
2020-01-08,AFG,-6,-14,-6,-15,-10,62,1027,2,0.0,8.7,9,0.0
2020-01-09,AFG,-2,-13,-2,-11,-8,39,1023,2,0.0,8.7,7,0.0
2020-01-10,AFG,-1,-11,-1,-10,-7,36,1025,2,0.0,8.7,6,0.0
2020-01-11,AFG,-1,-10,-1,-7,-4,52,1023,1,0.2,3.8,6,0.6
2020-01-12,AFG,-0,-3,-0,-3,-2,93,1020,1,2.6,3.8,5,5.8
2020-01-13,AFG,-1,-7,-1,-4,-3,94,1013,1,12.6,3.8,4,14.8
2020-01-14,AFG,-4,-11,-4,-11,-8,68,1024,2,0.0,8.7,6,0.0
2020-01-15,AFG,-2,-10,-2,-11,-8,65,1026,2,0.0,8.7,7,0.0
2020-01-16,AFG,-3,-12,-3,-13,-8,53,1025,2,0.0,8.7,9,0.0
2020-01-17,AFG,-3,-11,-3,-12,-8,50,1025,2,0.0,8.7,8,0.0
2020-01-18,AFG,-5,-12,-5,-13,-8,53,1026,2,0.0,8.7,8,0.0
2020-01-19,AFG,-4,-13,-4,-11,-8,54,1025,1,0.0,5.5,6,0.0
2020-01-20,AFG,-2,-9,-2,-7,-5,76,1022,2,1.0,8.7,4,1.3
2020-01-21,AFG,-2,-7,-2,-5,-5,93,1024,1,4.3,3.9,3,5.3
2020-01-22,AFG,-4,-11,-4,-12,-8,78,1031,1,0.3,8.7,7,0.3
2020-01-23,AFG,-5,-14,-5,-14,-9,61,1028,2,0.0,8.7,8,0.0
2020-01-24,AFG,1,-7,1,-7,-4,54,1022,1,0.0,5.5,7,0.1
2020-01-25,AFG,-1,-8,-1,-8,-5,81,1022,1,0.1,7.1,7,0.1
2020-01-26,AFG,-3,-11,-3,-11,-7,58,1023,2,0.0,8.7,8,0.0
2020-01-27,AFG,-2,-10,-2,-9,-6,63,1022,2,0.0,8.7,7,0.0
2020-01-28,AFG,-4,-10,-4,-12,-7,59,1023,2,0.0,8.7,9,0.0
2020-01-29,AFG,-4,-12,-4,-13,-8,54,1022,2,0.0,8.7,9,0.0
2020-01-30,AFG,-3,-12,-3,-12,-7,59,1024,2,0.0,8.7,8,0.0
2020-01-31,AFG,-1,-7,-1,-8,-5,78,1020,1,0.7,4.0,6,0.8
2020-02-01,AFG,-2,-10,-2,-10,-6,60,1024,2,0.0,8.7,8,0.0
2020-02-02,AFG,-2,-10,-2,-9,-6,55,1025,2,0.0,8.7,8,0.0
2020-02-03,AFG,-1,-8,-1,-7,-4,70,1023,1,2.0,4.0,5,2.4
2020-02-04,AFG,-1,-8,-1,-6,-4,89,1023,1,6.3,4.0,4,7.4
2020-02-05,AFG,-3,-10,-3,-11,-7,74,1024,2,0.0,8.7,8,0.0
2020-02-06,AFG,-1,-9,-1,-10,-6,62,1024,1,0.0,7.1,9,0.0
2020-02-07,AFG,-2,-12,-2,-12,-7,51,1025,2,0.0,8.7,10,0.0
2020-02-08,AFG,2,-9,2,-7,-3,45,1023,2,0.0,8.7,8,0.0
2020-02-09,AFG,1,-6,1,-6,-3,45,1024,2,0.0,8.7,8,0.0
